,Unicode,Standard,,Iso latin 1,,CE,,Symbol,,PS name,Unicode name
,hex,octal,hex,octal,hex,octal,hex,octal,hex,,
35,23,43,23,43,23,43,23,43,23,numbersign,number sign
79,004F,117,004F,117,004F,117,004F,,,O,latin capital letter o
111,006F,157,006F,157,006F,157,006F,,,o,latin small letter o
211,00D3,,,323,00D3,323,00D3,,,Oacute,latin capital letter o with acute
243,00F3,,,363,00F3,363,00F3,,,oacute,latin small  letter o with acute
212,00D4,,,324,00D4,324,00D4,,,Ocircumflex,latin capital letter o with circumflex
244,00F4,,,364,00F4,364,00F4,,,ocircumflex,latin small letter o with circumflex
214,00D6,,,326,00D6,326,00D6,,,Odieresis,latin capital letter o with diaresis
246,00F6,,,366,00F6,366,00F6,,,odieresis,latin small letter o with diaresis
,U+0152,352,00EA,,,,,,,OE,latin capital ligature oe
,U+0153,372,00FA,,,,,,,oe,latin small ligature oe
158,U+02db,316,00CE,236,009E,262,00B2,,,oganek,ogonek
210,00D2,,,322,00D2,,,,,Ograve,latin capitalletter o with grave
242,00F2,,,362,00F2,,,,,ograve,latin small letter o with grave
,U+0150,,,,,325,00D5,,,Ohungarumlaut,latin capital letter o with double acute
,U+0151,,,,,365,00F5,,,ohungarumlaut,latin small letter u with double acute
,03A9,,,,,,,127,57,Omega,GREEK CAPITAL LETTER OMEGA
,03C9,,,,,,,167,77,omega,GREEK SMALL LETTER OMEGA
,2126,,,,,,,127,57,Omega,OHM SIGN
,03D6,,,,,,,166,76,omega1,GREEK PI SYMBOL
,039F,,,,,,,117,4F,Omicron,GREEK CAPITAL LETTER OMICRON
,03BF,,,,,,,157,6F,omicron,GREEK SMALL LETTER OMICRON
49,31,61,31,61,31,61,31,61,31,one,digit one
189,00BD,,,275,00BD,,,,,onehalf,vulgar fraction one half
188,00BC,,,274,00BC,,,,,onequarter,vulgar fraction one quarter
185,00B9,,,271,00B9,,,,,onesuperior,superscript one
170,00AA,343,E3,252,00AA,,,,,ordfeminine,feminie ordinal indicator
186,00BA,353,00EB,272,00BA,,,,,ordmasculine,masculine ordinal indicator
216,00D8,351,E9,330,00D8,,,,,Oslash,latin capital letter o with stroke
248,00F8,371,00F9,370,00F8,,,,,oslash,latin small letter o with stroke
213,00D5,,,325,00D5,,,,,Otilde,latin capital letter o with tilde
